Year,Month,jobs
1987,Dec,3126.0
1988,Dec,3156.0
1989,Dec,3098.0
1990,Dec,3110.0
1991,Dec,3121.0
1992,Dec,3101.0
1993,Dec,3037.0
1994,Dec,2983.0
1995,Dec,2903.0
1996,Dec,2839.0
1997,Dec,2789.0
1998,Dec,2785.0
1999,Dec,2771.0
2000,Dec,2745.0
2001,Dec,2751.0
2002,Dec,2780.0
2003,Dec,2740.0
2004,Dec,2728.0
2005,Dec,2733.0
2006,Dec,2730.0
2007,Dec,2756.0
2008,Dec,2775.0
2009,Dec,2831.0
2010,Dec,2870.0
2011,Dec,2836.0
2012,Dec,2806.0
2013,Dec,2741.0
2014,Dec,2744.0
2015,Dec,2775.0
2016,Dec,2810.0
2017,Dec,2795.0
